Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;INSPEC Controlled Terms;INSPEC Non-Controlled Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier;;;;;;;;;;;
Rapid Action on COVID-19 and Earth Observation: an Inittiative for Societal Information Enabled by Copernicus Sentinels Data;"Y. -L. Desnos; E. Hamdouch; A. Anghelea; G. Landgraf; S. Cheli; J. Turpin";European Space Agency; European Commission; European Space Agency; European Space Agency; European Space Agency; European Commission;2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS;12-oct-21;2021;;;1374;1376;"This paper introduces the Rapid Action for Coronavirus and Earth Observation; a joint ESA-EC initiative to showcase applications of Earth Observation data derived from the Copernicus Sentinels and Third Party Missions to generate timely information with societal interest on the changes observed during the coronavirus pandemic lockdown and post lockdown periods on the European economy; agriculture; air quality; water quality and land. All indicators are based on Sentinel data and derived by capitalizing on EO Platforms and advanced Artificial Intelligence as a key enabler and accelerator of information discovery. Pioneering flexible and rapid development and deployment of the dashboard within EuroDataCube; the https://race.esa.int product is a fully Open Source solution developed using state-of-the-art technologies in an Open Science framework. Through coding competitions and coaching of citizen contributions; innovative community indicators were integrated using an Agile and Design Thinking Product Development Methodology.";2153-7003;978-1-6654-0369-6;10.1109/IGARSS47720.2021.9553746;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553746;"Copernicus Sentinels;Earth Observation;EuroDataCube;Open Science;Covid-19";"COVID-19;Earth;Pandemics;Instruments;Europe;Water quality;Air quality";"agriculture;air quality;artificial intelligence;data analysis;diseases;environmental science computing;epidemics;geophysical techniques;geophysics computing;public domain software;social sciences computing;water quality";"COVID-19;societal information;Copernicus Sentinels data;joint ESA-EC initiative;Earth observation data;societal interest;post lockdown periods;air quality;water quality;information discovery;Coronavirus pandemic lockdown;third party missions;European economy;agriculture;EO platforms;artificial intelligence;EuroDataCube;open source solution;open science framework;innovative community indicators;design thinking product development;agile product development";;;;15;;12-oct-21;;;IEEE;IEEE Conferences;;;;;;
"Identify; analyze and report networking issues in streaming services";"A. Patra; A. Tirkey; P. Singh; S. Kumar; H. Mihai-Popa; A. Gherghel";Ness Digital Engineering; Ness Digital Engineering; Ness Digital Engineering; Ness Digital Engineering; Ness Digital Engineering; Ness Digital Engineering;SMPTE 2020 Annual Technical Conference and Exhibition;20-jul-21;2020;;;1;13;"End-user streaming services have grown exponentially in the past years. The mechanisms to serve the enormous amounts of content available have seen a lot of improvements in reliability; flexibility; and overall quality. However; a plaguing problem is related to the last part of the delivery infrastructure: home networks. These networks are managed in a myriad of ways. Poor configuration and misuse reflect directly in the quality of the video streaming experience. Detecting home network issues and appropriately reporting them is key in providing the right solution when end-users report problems with the streaming services. — We propose a microservices led system that includes a client-side service that collects data and key performance indicators about the home network. The cloud-enabled microservices collect; store; analyze and correlate such data for enabling preemptive or on-demand actions. We propose that the client-side library is available on a variety of platforms for wider acceptance. The cloud-side of the system is proposed to store the telemetry data securely. The analytics systems perform real-time analysis and correlation between various events to create predictions to identify specific issues; or on a per-user basis; or based on a specific network configuration type. — As an outcome of the analytics and predictions; various dashboards and alarms are generated to allow visual representation of the system or tenant or user status and also enable setting up alarms and notifications that can be integrated with other systems that can address them and take actions.";;;10.5594/M001919;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9490968;"Streaming;Home network issues;Microservices;Multi-tenancy;cloud enabled";;;;;;;12;;20-jul-21;;;SMPTE;SMPTE Conferences;;;;;;
IoT Integration for Combined Energy Systems at the CoSES Laboratory;"M. Mayer; A. Mohapatra; V. S. Perić";"Technical University of Munich;Department of Electrical and Computer Engineering; Technical University of Munich;Munich School of Engineering; Technical University of Munich;Munich School of Engineering";2021 IEEE 7th World Forum on Internet of Things (WF-IoT);9-nov-21;2021;;;195;200;"Combined Smart Energy Systems (CoSES) microgrid lab at TU Munich has a large number of measured and calculated data points which need a robust tool to monitor and visualize. Furthermore; the tool should be simple to use among microgrid researchers from different fields of study. Based on these requirements; an IoT dashboard using open-source tools for experiment monitoring and visualization is developed for the CoSES microgrid lab. The solution uses InfluxDB 2.0 as a time-series database and Grafana for the visualizations. The dashboard can be easily customized and is both locally and remotely accessible from any modern browser. This enables the researcher to analyze the experiment data without detailed knowledge of the Power hardware-in-the-loop setup. A demonstrative experiment is conducted using one CoSES prosumer to verify the toolchain and the results are shown in the paper.";;978-1-6654-4431-6;10.1109/WF-IoT51360.2021.9596000;"Deutsche Forschungsgemeinschaft; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596000;;"Philosophical considerations;Decentralized control;Data visualization;Microgrids;Tools;Browsers;Visual databases";;;;;;10;;9-nov-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
A Software Service Supporting Software Quality Forecasting;"M. Manzano; C. Ayala; C. Gómez; L. López Cuesta";Universitat Politècnica de Catalunya; Universitat Politècnica de Catalunya; Universitat Politècnica de Catalunya; Universitat Politècnica de Catalunya;"2019 IEEE 19th International Conference on Software Quality; Reliability and Security Companion (QRS-C)";7-oct-19;2019;;;130;132;"Software repositories such as source control; defect tracking systems and project management tools; are used to help manage the progress of software projects. The exploitation of such data with techniques like forecasting is becoming an increasing need in several domains to support decision-making processes. However; although there exist several statistical tools and languages supporting forecasting; there is a lack of friendly approaches that enable practitioners to exploit the advantages of creating and using such models in their dashboard tools. Therefore; we have developed a modular and flexible forecasting service allowing the interconnection with different kinds of databases/data repositories for creating and exploiting forecasting models based on methods like ARIMA or ETS. The service is open source software; has been developed in Java and R and exposes its functionalities through a REST API. Architecture details are provided; along with functionalities' description and an example of its use for software quality forecasting.";;978-1-7281-3925-8;10.1109/QRS-C.2019.00037;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859440;"forecasting; software service; software quality; software metrics; REST API";"Forecasting;Predictive models;Tools;Software quality;Data models;Computer architecture";"application program interfaces;data visualisation;decision making;Java;public domain software;software maintenance;software quality";"software repositories;defect tracking systems;software projects;decision-making processes;statistical tools;modular forecasting service;open source software;software quality forecasting;REST API";;2;;17;;7-oct-19;;;IEEE;IEEE Conferences;;;;;;;;
Apply sentiment analysis technology in social Media as a tool to enhance the effectiveness of e-government : Application on Arabic and Mauritanian dialect ‘HASSANIYA’;"A. C. M. N’Diaye; M. E. M. El Arby Chrif; B. M. El Mahmoud; O. El Beqqali";"University of Nouakchott AL Aasriya;Department of Mathematics and Computer Science;Nouakchott;Mauritania; University of Nouakchott AL Aasriya;Department of Mathematics and Computer Science;Nouakchott;Mauritania; University of Nouakchott AL Aasriya;Department of Mathematics and Computer Science;Nouakchott;Mauritania; University Sidi Mohamed Ben Abdellah;Faculty of sciences DM;Department of computer sciences;Fez;Morocco";2021 Fifth International Conference On Intelligent Computing in Data Sciences (ICDS);1 Dec 2021;2021;;;1;5;"Sentiment analysis is a technique that allows you to know the feeling behind the writing and to have an overview of the public opinion on certain subjects. In this work; we will adapt a business intelligence approach to create an intelligent dashboard on behalf of government to oversee; track and analyze citizen interactions with government decisions and achievements. Measure the degree of general satisfaction with the performance of government policy as a whole and with the performance of different sectors in particular through real comments that reflect the opinion of citizens on Facebook; written and shared on social networks and more particularly on the pages of the Mauritanian government in English; French; Arabic and the HASSANIYA dialect. The approach proposed will give on the one hand; a clear vision by making a group of citizens’ comments on current topics published on government Facebook pages; then indicate the feelings of each of them by classifying them according to the polarity of comments. On the other hand; it allows to save in a data warehouse only the relevant data which will then be consulted by the government sectors with the possibility of accessing only the data that concerns them; which will result in the speed of the analysis process. Based on Business Intelligence. This article represents a contribution to the sentiment analysis approach applied in Business Intelligence. This important study can determine the level of general satisfaction with the sectoral policies of the government; and measure the conformity of the government policies with the aspirations of the citizens.";;978-1-6654-4238-1;10.1109/ICDS53782.2021.9626766;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626766;"social media;Sentiment Analysis;Data Warehouse;Hassaniya;Business Intelligence;e-gov";"Government policies;Sentiment analysis;Social networking (online);Government;Writing;Tools;Data warehouses";;;;;;10;;1 Dec 2021;;;IEEE;IEEE Conferences;;;;;;;;;;;
Enhanced Storage Management Optimization in IaaS Cloud Environment;"A. A. Devarajan; T. Sudalaimuthu; K. S. Sankaran";"Hindustan Institute of Technology and Science;Department of Computer Science and Engineering;Chennai;India; Hindustan Institute of Technology and Science;Department of Computer Science and Engineering;Chennai;India; Hindustan Institute of Technology and Science;Department of Electronics and Communication Engineering;Chennai";2020 International Conference on Communication and Signal Processing (ICCSP);1-sept-20;2020;;;1589;1594;"Cloud computing is unavoidable significant development that utilizes progressive related to IaaS. The storage is increasing day by day due to upgrades in data distribution and data storing in IaaS services. Having lot of benefit of cloud such as scalability; accessibility; cost saving; almost all industry is interested in shifting their data to cloud storage. With this IaaS services; it is essential to know the biggest challenge related to the data storage management capabilities and also distribution across numerous customer. This also has impact on performance and user experience related to the bandwidth utilization. In this paper the proposed Storage Management Optimization (SMO) eliminates duplicate data to save storage space and increase bandwidth utilization with respect to storage speed of network. The well-structured metadata is used to identify duplication on the corresponding data elements. Evaluation of a metadata prototype helps to analyze the file access patterns of user and to determine the future access prediction in terms of frequent accessibility ranking system. The SMO system generates a dashboard having details related to application data files and access details. Implementation using the proposed system SMO in simulation platform can show space optimization upto 11.85% than the normal system and bandwidth increases with respect to accessibility at the rate almost 84%.";;978-1-7281-4988-2;10.1109/ICCSP48568.2020.9182114;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9182114;"Data deduplication;Multiple metadata structure;performance evaluation;Optimization";"Conferences;Signal processing";"cloud computing;meta data;storage management";"IaaS cloud environment;data distribution;data storing;IaaS services;data storage management capabilities;user experience;duplicate data;storage space;bandwidth utilization;data elements;access prediction;frequent accessibility ranking system;SMO system;application data files;space optimization;normal system;enhanced storage management optimization";;;;20;;1-sept-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Spatially Representative Online Big Data Sampling for Smart Cities;"I. M. A. Jawarneh; P. Bellavista; A. Corradi; L. Foschini; R. Montanari";"University of Bologna Viale Risorgimento 2;Dipartimento di Informatica – Scienza e Ingegneria;Bologna;Italy;40136; University of Bologna Viale Risorgimento 2;Dipartimento di Informatica – Scienza e Ingegneria;Bologna;Italy;40136; University of Bologna Viale Risorgimento 2;Dipartimento di Informatica – Scienza e Ingegneria;Bologna;Italy;40136; University of Bologna Viale Risorgimento 2;Dipartimento di Informatica – Scienza e Ingegneria;Bologna;Italy;40136; University of Bologna Viale Risorgimento 2;Dipartimento di Informatica – Scienza e Ingegneria;Bologna;Italy;40136";2020 IEEE 25th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD);30-sept-20;2020;;;1;6;"The diversity of sensing options that IoT offers imposed requirements to evolve stream processing engines so to cope with highly heterogeneous and fast-pace data streams challenging their computing capacities. Location intelligence applications aim at exploiting those geo-referenced data in generating visualizations and dashboards that provide deep insights for assisting decision making in smart cities and urban planning. As data arriving are mostly geo-referenced and the rate is fluctuating in pace and skewness; computations upon streams should depend on approximation by applying methods such as sampling. Representativeness in sampling designs remains the pivotal concern in the literature. In spatial data streams contexts; it loosely means selecting proportional counts of spatial tuples from each group of tuples that belong to the same real geometry (i.e.; geographically residing in the same proximity) within each streaming time window. This is challenging in streaming settings because spatial data is parametrized; loosing hence it is real geometries; which requires costly geometric operations to project them back to maps. To close this void; we have designed SpatialSPE in a previous work and incorporated an efficient fine-grained spatial online sampling method (SAOS) transparently within its layers. In this paper; we extend SAOS (the novel method is termed ex-SAOS) by new features that allow efficient online spatial sampling on a coarser level; which is a requirement in smart city scenarios. Our results show that ex-SAOS is efficient and effectively extends SAOS for more general smart city and urban computing scenarios.";2378-4873;978-1-7281-6339-0;10.1109/CAMAD50429.2020.9209294;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209294;"spatial sampling;spark streaming;smart city;stratified sampling;geohash";"Sociology;Quality of service;Smart cities;Sampling methods;Estimation;Geometry";"Big Data;data analysis;decision making;geographic information systems;Internet of Things;sampling methods;smart cities;town and country planning";"ex-SAOS;urban computing;smart cities;stream processing engines;fast-pace data streams;location intelligence applications;geo-referenced data;decision making;urban planning;spatial data streams;spatial tuples;streaming time window;fine-grained spatial online sampling method;spatial sampling;spatially representative online big data sampling;IoT;highly heterogeneous data streams;SpatialSPE";;1;;20;;30-sept-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Blockchain analytics and artificial intelligence;"D. N. Dillenberger; P. Novotny; Q. Zhang; P. Jayachandran; H. Gupta; S. Hans; D. Verma; S. Chakraborty; J. J. Thomas; M. M. Walli; R. Vaculin; K. Sarpatwar";NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA;IBM Journal of Research and Development;23-jul-19;2019;63;2-mar;5:01;5:14;"Blockchain records track information about financial payments; movements of products through supply chains; identity verification information; and many other assets. Analytics on this data can provide provenance histories; predictive planning; fraud identification; and regulatory compliance. In this paper; we describe analytics engines connected to blockchains to provide easy-to-use configurable dashboards; predictive models; provenance histories; and compliance checking. We also describe how blockchain data can be combined with external data sources for secure and private analytics; enable artificial intelligence (AI) model creation over geographically dispersed data; and create a history of model creation enabling provenance and lineage tracking for trusted AI.";0018-8646;;10.1147/JRD.2019.2900638;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8645631;;"Blockchain;Databases;Fabrics;Data models;Artificial intelligence;Analytical models;History";;;;7;;53;IBM;20-feb-19;;;IBM;IBM Journals
eSTIMe: Towards an All-in-One Geovisualization Environment for Daily Mobility Analysis;"A. Menin; S. Chardonnel; P. Davoine; L. Nedel";"Univ. Grenoble Alpes; CNRS; Grenoble INP; LIG; Univ. Grenoble Alpes; CNRS; Science Po Grenoble; PACTE; Univ. Grenoble Alpes; CNRS; Science Po Grenoble; PACTE and Grenoble INP; LIG; Federal University of Rio Grande do Sul";"2019 32nd SIBGRAPI Conference on Graphics; Patterns and Images (SIBGRAPI)";5 Dec 2019;2019;;;39;46;"Daily mobility data describes individual displacements over 24-hours periods and are an important source of information to understand the real rhythm of a city; to provide appropriate transportation policies; and to support investment decisions. Geovisualization researchers have designed multiple coordinated views environments; combining spatial and temporal dimensions; and providing indicators comparison. Daily mobility analysis is complex and requires simultaneous exploration and combination of different indicators at different spatial and temporal granularity levels. The design of effective geovisualization environments supporting this analysis evokes several challenges due to the diversity and multiplicity of indicators; the granularity of space and time; and time integration. In this paper; we propose a geovisualization approach enabling the dynamic visualization of diverse indicators; as well as the exploration of space; time; and other attributes.We use multiple screens embedding customizable dashboards and allowing the users to arrange views and compare indicators as it better fits their analysis. It also integrates a mobile device serving as a display and interaction tool to physically control the evolution of the visualization on time.";2377-5416;978-1-7281-5227-1;10.1109/SIBGRAPI.2019.00014;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919878;"geovisualization;daily mobility analysis;movement data;geovisual analysis";"Data visualization;Trajectory;Mobile handsets;Spatiotemporal phenomena;Urban areas;Transportation;Sociology";"data visualisation;geographic information systems;mobile computing";"multiple coordinated view environments;mobile device;temporal granularity levels;simultaneous exploration;temporal dimensions;spatial dimensions;investment decisions;transportation policies;mobility analysis;geovisualization environment";;;;42;;5 Dec 2019;;;IEEE;IEEE Conferences;;;;;;;;;;;
Developing a Mobile COVID-19 Prototype Management Application Integrated With an Electronic Health Record for Effective Management in Hospitals;"M. Berquedich; A. Berquedich; O. Kamach; M. Masmoudi; A. Chebbak; L. Deshayes";"University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco; University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco; University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco; University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco; University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco; University Mohammed VI Polytechnique Benguerir; Ben Guerir; Morocco";IEEE Engineering Management Review;31 Dec 2020;2020;48;4;55;64;"This article aimed to develop a mobile application for the management of coronavirus disease 2019 (COVID-19). We analyzed the pilot version with satisfaction through a survey and an interview with health workers from Sidi Said; a local hospital located in Meknès; Morocco; which receives patients suffering from COVID-19. Methods: We have formed a team effort that involves health professionals; specialists from various fields and who participated in the design process of this project. It is a review of the existing literature and interviews with health professionals seeking to trace all the functions of this application. The user interface graphics; whether at the hospital or patient application level; were reviewed for effective usability by a multidisciplinary team. After having had to develop the pilot version of the application; the usefulness and the gratitude of the application were evaluated by eight patients and carers by means of a utility test; based on a real scenario; a utility survey. The objective is to ensure communication between the mobile application and the decision support application at the emergency services level to facilitate the detection of people who had developed COVID-19 as well as follow-up at home for detected patients. Results: The COVID-19 mobile management application provides capture functions and can afford information that helps in the prescription of appropriate drugs to patients at home. It is used to identify people who have been in contact with people who have tested positive for COVID-19; to carry out a large-scale screening by sending alert messages to these people; and to follow up via geolocation. There is also the possibility via Bluetooth; for the monitoring of patients without the activation of the Geolocation option. The approach adopted aims to reduce congestion in hospitals by identifying people suffering from respiratory illnesses or who may be contaminated; and monitoring them remotely. We offered six functions to achieve the objective of this project. Main: Respiratory crisis journal; medication recall; appointment; survey of people contacted; personal equipment and dashboard; daily traceability and monitoring; and geolocation. We have integrated the application of the electronic healthcare registration system in hospitals. To simplify usability; the frequently used functions; which are relatively important; can be found on the main page under the heading “COVID-19 monitoring” (in French: COVID-19 monitoring); and “Medication log” (in French: Journal medication). In addition; during graphic design; art therapy was used to improve the psychological stability of the patient. Eight participants were employed for the evaluation. For scenario-based tasks; out of ten tasks; all participants can record the entries in detail. The system use scale score was 94 points; indicating that the system was satisfactory for the patients and the staff who tested and manipulated it. Conclusion: This article confirmed that patients were satisfied with the follow-up at home and with the caregivers of the hospital. In addition; this made it possible to accurately record their symptoms and; therefore; facilitated an early detection of COVID-19. This was very useful for analyzing crisis trends; responding to a broader detection; avoiding contamination within the same family and provide effective support for COVID-19 positive patients at home. Through integration with the electronic health record; patient health care information can be used by health care decision-makers to manage treatment plans and support medical interventions. Currently; all patients who have been followed remotely are cured. We intend to generalize this concept for the monitoring of other diseases than COVID-19 later.";1937-4178;;10.1109/EMR.2020.3032943;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9246209;"Artificial immune system (AIS) techniques;coronavirus disease 2019 (COVID-19);decision support system;Electronic health record (EHR);mobile application";"COVID-19;Hospitals;Lung;Monitoring;Immune system";"Bluetooth;decision making;decision support systems;diseases;electronic health records;emergency services;graphical user interfaces;health care;hospitals;patient care";"hospital;COVID-19 monitoring;COVID-19 positive patients;electronic health record;patient health care information;mobile application;health professionals;patient application level;decision support application;mobile COVID-19 prototype management application;effective management;coronavirus disease 2019;Sidi Said;Meknès;Morocco;design process;user interface graphics;utility test;utility survey;emergency service level;arge-scale screening;Bluetooth;patient monitoring;electronic healthcare registration system;graphic design;scenario-based tasks;medical interventions;time 19.0 as";;1;;32;IEEE;30-oct-20;;;IEEE;IEEE Journals;;;;;;;;;;;
An Integrated Platform of Water Quality Management for National Water Supply and Drainage Board;"S. Hettiarachchi; D. Proboshena; L. Stembo; H. Rajapaksha; R. de Silva; D. P. Nawinna";"Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka; Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka; Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka; Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka; Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka; Sri Lanka Institute of Information Technology;Faculty of Computing;Colombo;Sri Lanka";2019 14th Conference on Industrial and Information Systems (ICIIS);13 Apr 2020;2019;;;192;197;"With the growing rates of population and environmental pollution; the need for in-depth research on sustainable water-quality management systems has become evident. This paper presents a smart system for water quality management including predictive capabilities. The proposed system facilitates the regular monitoring of water quality parameters at water treatment plants using an easy to use IoT device and facilitates to identify water leakage points in the water distribution network using crowd-sourcing and visualization techniques. Most importantly; proposed system is capable of predicting of upcoming changes of water quality with an accuracy of 99% and calculating the respective purification costs. Digital dashboard in the system presents summarized information on leakages; customer feedback; water quality patterns and associated purification costs.";2164-7011;978-1-7281-3706-3;10.1109/ICIIS47346.2019.9063320;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9063320;"Water Quality Management;Natural Language Processing;Internet of Things;Machine Learning;Sri Lanka";;"Internet of Things;quality management;wastewater treatment;water quality;water resources;water supply";"integrated platform;national water supply;drainage board;environmental pollution;sustainable water-quality management systems;smart system;water quality management;water quality parameters;water treatment plants;water leakage points;water distribution network;water quality patterns;predictive capabilities";;;;13;;13 Apr 2020;;;IEEE;IEEE Conferences;;;;;;;;;;;
Monitoring automation process to improve the evaluation of competency learning for higher education;"J. M. García Yuffra; A. M. Rosas Ramírez; J. Armas-Aguirre";"Information System Engineering; Universidad Peruana de Ciencias;Aplicadas;Lima;Peru; Information System Engineering; Universidad Peruana de Ciencias;Aplicadas;Lima;Peru; Information System Engineering; Universidad Peruana de Ciencias;Aplicadas;Lima;Peru";2019 Congreso Internacional de Innovación y Tendencias en Ingenieria (CONIITI );16 Jan 2020;2019;;;1;5;"This paper proposes a technological solution that automates the action plan monitoring process designed to improve the achievement rate of the learning competence on university students; with the objective of improving the process of evaluation by competencies. Our proposal allows the action plan automated monitoring thanks to a system with features; such as: (1) plan registration through forms with a user experience design; (2) custom dashboards display and download for each level of the action plan or; in general; with all the plans of a specific user for analysis and decision making; (3) loading and downloading of evidence on compliance of the improvement actions; (4) report creation for action plan monitoring in appropriate formats to facilitate reading; and (5) email notifications delivery about any changes to the plan. The proposal is described in two parts: (1) the automation of the monitoring process; (2) the solution functionalities and (3) the designed technological architecture. To validate the proposal; a survey was developed to perform it with functional analysts in a university institution. The results showed that 93.8% of the participants consider that the solution contributes to the improvement of the achievement of competencies; it was also demonstrated that the action plan monitoring is carried out with 99.6% more efficiency; which facilitates compliance with the cost; time and planned impact parameters also contributes to the competency-based evaluation continuous improvement.";;978-1-7281-4746-8;10.1109/CONIITI48476.2019.8960627;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8960627;"assessment;monitoring;technology solution;competency-based-education;monitoring solution;action plan";;"computer aided instruction;further education;human computer interaction;user interfaces";"monitoring automation process;technological solution;action plan monitoring process;learning competence;user experience design;competency-based evaluation continuous improvement;higher education";;;;15;;16 Jan 2020;;;IEEE;IEEE Conferences;;;;;;;;;;;
MOFit: A Framework to reduce Obesity using Machine learning and IoT;"S. Garg; P. Pundir";"Jaypee University of Information Technology;Department of Computer Science;Solan;India; Jaypee University of Information Technology;Department of Computer Science;Solan;India";"2021 44th International Convention on Information; Communication and Electronic Technology (MIPRO)";15-nov-21;2021;;;1733;1740;"From the past few years; due to advancements in technologies; the sedentary living style in urban areas is at its peak. This results in individuals getting a victim of obesity at an early age. There are various health impacts of obesity like Diabetes; Heart disease; Blood pressure problems; and many more. Machine learning from the past few years is showing its implications in all expertise like forecasting; healthcare; medical imaging; sentiment analysis; etc. In this work; we aim to provide a framework that uses machine learning algorithms namely; Random Forest; Decision Tree; XGBoost; Extra Trees; and KNN to train models that would help predict obesity levels (Classification); Bodyweight; and fat percentage levels (Regression) using various parameters. We also applied and compared various hyperparameter optimization (HPO) algorithms such as Genetic algorithm; Random Search; Grid Search; Optuna to further improve the accuracy of the models. The website framework contains various other features like making customizable Diet plans; workout plans; and a dashboard to track the progress. The framework is built using the Python Flask. Furthermore; a weighing scale using the Internet of Things (IoT) is also integrated into the framework to track calories and macronutrients from food intake.";2623-8764;978-953-233-101-1;10.23919/MIPRO52101.2021.9596673;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596673;"Smart Health system;Obesity;Machine Learning (ML);Hyperparameter optimization (HPO);Genetic algorithm;Random Search;Grid Search;Optuna;Flask;Internet of Things (IoT);Weighing Scale";"Weight measurement;Heart;Obesity;Analytical models;Machine learning algorithms;Fats;Diabetes";;;;;;34;;15-nov-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
Designing a Replicable Data Infrastructure for Education Research;"J. Machita; T. Rohrich; Y. Jiang; Y. Zheng";"University of Virginia;School of Data Science;Charlottesville;USA; University of Virginia;School of Data Science;Charlottesville;USA; University of Virginia;School of Data Science;Charlottesville;USA; University of Virginia;School of Data Science;Charlottesville;USA";2021 Systems and Information Engineering Design Symposium (SIEDS);16-jul-21;2021;;;1;6;"The field of education research suffers from a lack of replication of existing research studies. SERA (The Special Education Research Accelerator) is a proposed crowdsourcing platform being developed by a research team at the University of Virginia’s School of Education that intends to help provide a solution by enabling large-scale replication of research studies in special education. In this paper; we present our design and implementation of a cloud-based data pipeline for a research study that could serve as a model for SERA. Cloud-based design considerations include: financial cost; technical feasibility; security concerns; automation capabilities; reproducibility; and scalability [1] [17]. We have designed an architectural frame-work that practitioners in education research can use to host their studies in the cloud and take advantage of automation; reproducibility; transparency; and accessibility. Implementation of our platform design includes automating the data extraction and cleaning; populating the database; and performing analytics and tracking. Additionally; the project includes the development of a web-facing API for researchers to query the database with no SQL knowledge necessary as well as a web-facing dashboard to present select information and metrics to the applied research team. Our data pipeline is hosted on Amazon Web Services (AWS); which provides functionality for automation; storage; database hosting; and APIs. We present this architecture to demonstrate how data could flow through the pipeline of SERA to achieve the goals of large-scale replication research.";;978-1-6654-1250-6;10.1109/SIEDS52267.2021.9483729;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9483729;"data architecture;design;cloud;data pipeline;education;AWS;replicability";"Knowledge engineering;Automation;Databases;Web services;Scalability;Education;Pipelines";"application program interfaces;cloud computing;SQL;Web services";"SERA;large-scale replication research;replicable data infrastructure;Special Education Research Accelerator;cloud-based data pipeline;cloud-based design considerations;platform design;applied research team";;;;19;;16-jul-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
"Decision Support System for Operational; Financial; Performance and Risk Indicators of Maturity Models over Cloud-Based Software";"N. Sen; D. C. Atilla; O. Karan";"Altinbas University;Electric and Computer Engineering Department;Istanbul;Turkey; Altinbas University;Electric and Computer Engineering Department;Istanbul;Turkey; Altinbas University;Electric and Computer Engineering Department;Istanbul;Turkey";2021 International Conference on Engineering and Emerging Technologies (ICEET);5 Jan 2022;2021;;;1;6;"The safe continuation of ordinary and critical processes defined in information systems and the operational; financial and security management of hardware and services that change with their priorities require dynamic information technology management. With automated inventory collection studies; it is possible to bring edge assets closer to local end server data sources. However; in cloud-based architectures; a dynamic computing framework solution can be presented by using intelligent assets. Intelligent assets' insight the data at the source with artificial intelligence algorithms and improved response times with the selection of the data to be sent to business intelligence dashboards; managerial significance - with added value - can be mapped - information is important in maturity leveling studies. Positioning the agent to the asset and sending selective data over the service can provide powerful advantages in optimum use of bandwidth. In this way; continuous data flow can be provided; on the other hand; by combining maturity models; it can be transformed into consistent - automated repeatable information. Cost is an important factor in all technology investments. In infrastructures where all assets can communicate; dynamically performing cost and risk management; showing cost losses; adding to the information security risk management methodology will provide convenience to those who manage the system in terms of controllability.";2409-2983;978-1-6654-2714-2;10.1109/ICEET53442.2021.9659584;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659584;"Information Technology;Maturity Levels;Operation;Finance and Asset Management;Information Security Maturity Model ISO 27001;Risk Analysis";"Analytical models;Costs;Soft sensors;Security management;Real-time systems;Risk management;Business intelligence";;;;;;22;;5 Jan 2022;;;IEEE;IEEE Conferences;;;;;;;;;;;
